GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
VD01,Total:
VD02,Not Hispanic or Latino:
VD03,Not Hispanic or Latino: - White alone
VD04,Not Hispanic or Latino: - Black or African American alone
VD05,Not Hispanic or Latino: - American Indian and Alaska Native alone
VD06,Not Hispanic or Latino: - Asian alone
VD07,Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone
VD08,Not Hispanic or Latino: - Some other race alone
VD09,Not Hispanic or Latino: - Two or more races
VD10,Hispanic or Latino:
VD11,Hispanic or Latino: - White alone
VD12,Hispanic or Latino: - Black or African American alone
VD13,Hispanic or Latino: - American Indian and Alaska Native alone
VD14,Hispanic or Latino: - Asian alone
VD15,Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone
VD16,Hispanic or Latino: - Some other race alone
VD17,Hispanic or Latino: - Two or more races
